category,record_index,variant,translation
monster,0,name,쥐
monster,0,name_plural,쥐
monster,0,short_name,쥐
monster,0,short_name_plural,쥐
monster,1,name,거대쥐
monster,1,name_plural,거대쥐
monster,1,short_name,쥐
monster,1,short_name_plural,쥐
monster,2,name,박쥐
monster,2,name_plural,박쥐
monster,2,short_name,박쥐
monster,2,short_name_plural,박쥐
monster,3,name,거대박쥐
monster,3,name_plural,거대박쥐
monster,3,short_name,박쥐
monster,3,short_name_plural,박쥐
monster,4,name,흡혈박쥐
monster,4,name_plural,흡혈박쥐
monster,4,short_name,박쥐
monster,4,short_name_plural,박쥐
monster,5,name,기는덩굴
monster,5,name_plural,기는덩굴
monster,5,short_name,덩굴
monster,5,short_name_plural,덩굴
monster,6,name,연기덩굴
monster,6,name_plural,연기덩굴
monster,6,short_name,덩굴
monster,6,short_name_plural,덩굴
monster,7,name,조임덩굴
monster,7,name_plural,조임덩굴
monster,7,short_name,덩굴
monster,7,short_name_plural,덩굴
monster,8,name,도적
monster,8,name_plural,도적
monster,8,short_name,도적
monster,8,short_name_plural,도적
monster,9,name,매복꾼
monster,9,name_plural,매복꾼
monster,9,short_name,도적
monster,9,short_name_plural,도적
monster,10,name,도적대장
monster,10,name_plural,도적대장
monster,10,short_name,도적
monster,10,short_name_plural,도적
monster,11,name,거대뱀
monster,11,name_plural,거대뱀
monster,11,short_name,거대뱀
monster,11,short_name_plural,거대뱀
monster,12,name,좀비
monster,12,name_plural,좀비
monster,12,short_name,악취시체
monster,12,short_name_plural,악취시체
monster,13,name,검은박쥐
monster,13,name_plural,검은박쥐
monster,13,short_name,박쥐
monster,13,short_name_plural,박쥐
monster,14,name,악당
monster,14,name_plural,악당
monster,14,short_name,도적
monster,14,short_name_plural,도적
monster,15,name,산적
monster,15,name_plural,산적
monster,15,short_name,도적
monster,15,short_name_plural,도적
monster,16,name,해적
monster,16,name_plural,해적
monster,16,short_name,도적
monster,16,short_name_plural,도적
monster,18,name,살인쥐
monster,18,name_plural,살인쥐
monster,18,short_name,쥐
monster,18,short_name_plural,쥐
monster,19,name,광폭쥐
monster,19,name_plural,광폭쥐
monster,19,short_name,쥐
monster,19,short_name_plural,쥐
monster,20,name,밀림덩굴
monster,20,name_plural,밀림덩굴
monster,20,short_name,덩굴
monster,20,short_name_plural,덩굴
monster,23,name,슬라임
monster,23,name_plural,슬라임
monster,23,short_name,슬라임
monster,23,short_name_plural,슬라임
monster,24,name,독슬라임
monster,24,name_plural,독슬라임
monster,24,short_name,슬라임
monster,24,short_name_plural,슬라임
monster,25,name,히드라식물
monster,25,name_plural,히드라식물
monster,25,short_name,히드라식물
monster,25,short_name_plural,히드라식물
monster,26,name,던전거머리
monster,26,name_plural,던전거머리
monster,26,short_name,거대웜
monster,26,short_name_plural,거대웜
monster,28,name,부패시체
monster,28,name_plural,부패시체
monster,28,short_name,부패시체
monster,28,short_name_plural,부패시체
monster,29,name,좀비해골
monster,29,name_plural,좀비해골
monster,29,short_name,부패시체
monster,29,short_name_plural,부패시체
monster,30,name,메이티선장
monster,30,name_plural,메이티선장
monster,30,short_name,메이티선장
monster,30,short_name_plural,메이티선장
monster,31,name,뚱뚱한쥐
monster,31,name_plural,뚱뚱한쥐
monster,31,short_name,뚱뚱한쥐
monster,31,short_name_plural,뚱뚱한쥐
monster,32,name,퀴퀘그
monster,32,name_plural,퀴퀘그
monster,32,short_name,퀴퀘그
monster,32,short_name_plural,퀴퀘그
monster,34,name,아멘투트버트
monster,34,name_plural,아멘투트버트
monster,34,short_name,아멘투트버트
monster,34,short_name_plural,아멘투트버트
monster,35,name,르몽테스
monster,35,name_plural,르몽테스
monster,35,short_name,르몽테스
monster,35,short_name_plural,르몽테스
monster,36,name,아마줄루
monster,36,name_plural,아마줄루
monster,36,short_name,원주민
monster,36,short_name_plural,원주민
monster,37,name,아마줄루궁수
monster,37,name_plural,아마줄루궁수
monster,37,short_name,원주민
monster,37,short_name_plural,원주민
monster,38,name,여주술사
monster,38,name_plural,여주술사
monster,38,short_name,원주민
monster,38,short_name_plural,원주민
monster,39,name,여사제
monster,39,name_plural,여사제
monster,39,short_name,원주민
monster,39,short_name_plural,원주민
monster,40,name,아마줄루여왕
monster,40,name_plural,아마줄루여왕
monster,40,short_name,아마줄루여왕
monster,40,short_name_plural,아마줄루여왕
monster,41,name,아마줄루좀비
monster,41,name_plural,아마줄루좀비
monster,41,short_name,부패시체
monster,41,short_name_plural,부패시체
monster,42,name,젤리구름
monster,42,name_plural,젤리구름
monster,42,short_name,구름
monster,42,short_name_plural,구름
monster,43,name,젤라틴안개
monster,43,name_plural,젤라틴안개
monster,43,short_name,구름
monster,43,short_name_plural,구름
monster,44,name,부유체
monster,44,name_plural,부유체
monster,44,short_name,구름
monster,44,short_name_plural,구름
monster,45,name,맨오워
monster,45,name_plural,맨오워
monster,45,short_name,구름
monster,45,short_name_plural,구름
monster,46,name,거대개미
monster,46,name_plural,거대개미
monster,46,short_name,거대개미
monster,46,short_name_plural,거대개미
monster,47,name,채집개미
monster,47,name_plural,채집개미
monster,47,short_name,거대개미
monster,47,short_name_plural,거대개미
monster,48,name,바스페스
monster,48,name_plural,바스페스
monster,48,short_name,거대개미
monster,48,short_name_plural,거대개미
monster,49,name,산성슬라임
monster,49,name_plural,산성슬라임
monster,49,short_name,슬라임
monster,49,short_name_plural,슬라임
monster,50,name,냉기슬라임
monster,50,name_plural,냉기슬라임
monster,50,short_name,슬라임
monster,50,short_name_plural,슬라임
monster,51,name,거대웜
monster,51,name_plural,거대웜
monster,51,short_name,거대웜
monster,51,short_name_plural,거대웜
monster,52,name,백색웜
monster,52,name_plural,백색웜
monster,52,short_name,거대웜
monster,52,short_name_plural,거대웜
monster,53,name,고무괴물
monster,53,name_plural,고무괴물
monster,53,short_name,고무괴물
monster,53,short_name_plural,고무괴물
monster,54,name,파이레파라오
monster,54,name_plural,파이레파라오
monster,54,short_name,언데드파라오
monster,54,short_name_plural,언데드파라오
monster,55,name,광부드워프
monster,55,name_plural,광부드워프
monster,55,short_name,드워프
monster,55,short_name_plural,드워프
monster,56,name,드워프대장
monster,56,name_plural,드워프대장
monster,56,short_name,드워프
monster,56,short_name_plural,드워프
monster,57,name,협잡꾼
monster,57,name_plural,협잡꾼
monster,57,short_name,수상한자
monster,57,short_name_plural,수상한자
monster,58,name,언덕거인
monster,58,name_plural,언덕거인
monster,58,short_name,거인
monster,58,short_name_plural,거인
monster,59,name,광부거인
monster,59,name_plural,광부거인
monster,59,short_name,거인
monster,59,short_name_plural,거인
monster,60,name,산악거인
monster,60,name_plural,산악거인
monster,60,short_name,거인
monster,60,short_name_plural,거인
monster,61,name,바위수호자
monster,61,name_plural,바위수호자
monster,61,short_name,바위수호자
monster,61,short_name_plural,바위수호자
monster,62,name,마우무무
monster,62,name_plural,마우무무
monster,62,short_name,마우무무
monster,62,short_name_plural,마우무무
monster,63,name,스미티
monster,63,name_plural,스미티
monster,63,short_name,스미티
monster,63,short_name_plural,스미티
monster,64,name,통행세트롤
monster,64,name_plural,통행세트롤
monster,64,short_name,통행세트롤
monster,64,short_name_plural,통행세트롤
monster,65,name,괴물박쥐
monster,65,name_plural,괴물박쥐
monster,65,short_name,괴물박쥐
monster,65,short_name_plural,괴물박쥐
monster,66,name,미스타파파스
monster,66,name_plural,미스타파파스
monster,66,short_name,미스타파파스
monster,66,short_name_plural,미스타파파스
monster,67,name,프리츠그린스
monster,67,name_plural,프리츠그린스
monster,67,short_name,프리츠그린스
monster,67,short_name_plural,프리츠그린스
monster,68,name,클라우스그린스
monster,68,name_plural,클라우스그린스
monster,68,short_name,클라우스그린스
monster,68,short_name_plural,클라우스그린스
monster,69,name,악마헬캣
monster,69,name_plural,악마헬캣
monster,69,short_name,악마헬캣
monster,69,short_name_plural,악마헬캣
monster,70,name,구프글루프
monster,70,name_plural,구프글루프
monster,70,short_name,구프글루프
monster,70,short_name_plural,구프글루프
monster,71,name,쿠왈리쿠보나
monster,71,name_plural,쿠왈리쿠보나
monster,71,short_name,쿠왈리쿠보나
